MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2023-02,Aberdeen Station,Train,Exit,Less than 50
2023-03,Aberdeen Station,Train,Entry,Less than 50
2023-03,Aberdeen Station,Train,Exit,Less than 50
2023-04,Aberdeen Station,Train,Entry,Less than 50
2023-04,Aberdeen Station,Train,Exit,Less than 50
2023-05,Aberdeen Station,Train,Entry,Less than 50
2023-05,Aberdeen Station,Train,Exit,Less than 50
2023-06,Aberdeen Station,Train,Entry,Less than 50
2023-06,Aberdeen Station,Train,Exit,Less than 50
2023-07,Aberdeen Station,Train,Entry,Less than 50
2023-07,Aberdeen Station,Train,Exit,Less than 50
2023-08,Aberdeen Station,Train,Entry,Less than 50
2023-08,Aberdeen Station,Train,Exit,Less than 50
2023-09,Aberdeen Station,Train,Entry,Less than 50
2023-09,Aberdeen Station,Train,Exit,Less than 50
2023-10,Aberdeen Station,Train,Entry,Less than 50
2023-10,Aberdeen Station,Train,Exit,Less than 50
2023-11,Aberdeen Station,Train,Entry,Less than 50
2023-11,Aberdeen Station,Train,Exit,Less than 50
2023-12,Aberdeen Station,Train,Entry,Less than 50
2023-12,Aberdeen Station,Train,Exit,Less than 50
2024-01,Aberdeen Station,Train,Entry,Less than 50
2024-01,Aberdeen Station,Train,Exit,Less than 50
2024-02,Aberdeen Station,Train,Entry,Less than 50
2024-02,Aberdeen Station,Train,Exit,Less than 50
2024-03,Aberdeen Station,Train,Entry,Less than 50
2024-03,Aberdeen Station,Train,Exit,Less than 50
2024-04,Aberdeen Station,Train,Entry,Less than 50
2024-04,Aberdeen Station,Train,Exit,Less than 50
2024-05,Aberdeen Station,Train,Entry,Less than 50
2024-05,Aberdeen Station,Train,Exit,Less than 50
2024-06,Aberdeen Station,Train,Entry,Less than 50
2024-06,Aberdeen Station,Train,Exit,Less than 50
2016-07,Adamstown Station,Train,Entry,1410
2016-07,Adamstown Station,Train,Exit,1270
2016-08,Adamstown Station,Train,Entry,1560
2016-08,Adamstown Station,Train,Exit,1490
2016-09,Adamstown Station,Train,Entry,1620
2016-09,Adamstown Station,Train,Exit,1550
2016-10,Adamstown Station,Train,Entry,1430
2016-10,Adamstown Station,Train,Exit,1470
2016-11,Adamstown Station,Train,Entry,1670
2016-11,Adamstown Station,Train,Exit,1730
2016-12,Adamstown Station,Train,Entry,1560
2016-12,Adamstown Station,Train,Exit,1560
2017-01,Adamstown Station,Train,Entry,1610
2017-01,Adamstown Station,Train,Exit,1640
2017-02,Adamstown Station,Train,Entry,1570
2017-02,Adamstown Station,Train,Exit,1590
2017-03,Adamstown Station,Train,Entry,1920
2017-03,Adamstown Station,Train,Exit,1780
2017-04,Adamstown Station,Train,Entry,1660
2017-04,Adamstown Station,Train,Exit,1720
2017-05,Adamstown Station,Train,Entry,1930
2017-05,Adamstown Station,Train,Exit,1940
2017-06,Adamstown Station,Train,Entry,1590
2017-06,Adamstown Station,Train,Exit,1560
2017-07,Adamstown Station,Train,Entry,1770
2017-07,Adamstown Station,Train,Exit,1770
2017-08,Adamstown Station,Train,Entry,1930
2017-08,Adamstown Station,Train,Exit,1940
2017-09,Adamstown Station,Train,Entry,1790
2017-09,Adamstown Station,Train,Exit,1780
2017-10,Adamstown Station,Train,Entry,1870
2017-10,Adamstown Station,Train,Exit,1880
2017-11,Adamstown Station,Train,Entry,2040
2017-11,Adamstown Station,Train,Exit,2090
2017-12,Adamstown Station,Train,Entry,1660
2017-12,Adamstown Station,Train,Exit,1630
2018-01,Adamstown Station,Train,Entry,1520
2018-01,Adamstown Station,Train,Exit,1840
2018-02,Adamstown Station,Train,Entry,1970
2018-02,Adamstown Station,Train,Exit,2220
2018-03,Adamstown Station,Train,Entry,2370
2018-03,Adamstown Station,Train,Exit,2490
2018-04,Adamstown Station,Train,Entry,2270
2018-04,Adamstown Station,Train,Exit,2340
2018-05,Adamstown Station,Train,Entry,2730
2018-05,Adamstown Station,Train,Exit,2740
2018-06,Adamstown Station,Train,Entry,2070
2018-06,Adamstown Station,Train,Exit,2100
2018-07,Adamstown Station,Train,Entry,2220
2018-07,Adamstown Station,Train,Exit,2390
2018-08,Adamstown Station,Train,Entry,2480
2018-08,Adamstown Station,Train,Exit,2540
2018-09,Adamstown Station,Train,Entry,2320
2018-09,Adamstown Station,Train,Exit,2340
2018-10,Adamstown Station,Train,Entry,2340
2018-10,Adamstown Station,Train,Exit,2390
2018-11,Adamstown Station,Train,Entry,2550
2018-11,Adamstown Station,Train,Exit,2420
2018-12,Adamstown Station,Train,Entry,2160
2018-12,Adamstown Station,Train,Exit,1980
2019-01,Adamstown Station,Train,Entry,2050
2019-01,Adamstown Station,Train,Exit,2100
2019-02,Adamstown Station,Train,Entry,2740
2019-02,Adamstown Station,Train,Exit,2440
2019-03,Adamstown Station,Train,Entry,2930
2019-03,Adamstown Station,Train,Exit,2680
2019-04,Adamstown Station,Train,Entry,2750
2019-04,Adamstown Station,Train,Exit,2400
2019-05,Adamstown Station,Train,Entry,3290
2019-05,Adamstown Station,Train,Exit,2850
2019-06,Adamstown Station,Train,Entry,2590
2019-06,Adamstown Station,Train,Exit,2440
2019-07,Adamstown Station,Train,Entry,2870
2019-07,Adamstown Station,Train,Exit,2830
2019-08,Adamstown Station,Train,Entry,3080
2019-08,Adamstown Station,Train,Exit,2950
2019-09,Adamstown Station,Train,Entry,2930
2019-09,Adamstown Station,Train,Exit,2740
2019-10,Adamstown Station,Train,Entry,2990
2019-10,Adamstown Station,Train,Exit,2900
2019-11,Adamstown Station,Train,Entry,3050
2019-11,Adamstown Station,Train,Exit,2830
2019-12,Adamstown Station,Train,Entry,2860
2019-12,Adamstown Station,Train,Exit,2520
2020-01,Adamstown Station,Train,Entry,2990
2020-01,Adamstown Station,Train,Exit,2900
2020-02,Adamstown Station,Train,Entry,3010
2020-02,Adamstown Station,Train,Exit,2830
2020-03,Adamstown Station,Train,Entry,2220
2020-03,Adamstown Station,Train,Exit,2140
2020-04,Adamstown Station,Train,Entry,560
2020-04,Adamstown Station,Train,Exit,590
2020-05,Adamstown Station,Train,Entry,1070
2020-05,Adamstown Station,Train,Exit,950
2020-06,Adamstown Station,Train,Entry,1380
2020-06,Adamstown Station,Train,Exit,1240
2020-07,Adamstown Station,Train,Entry,1590
2020-07,Adamstown Station,Train,Exit,1400
2020-08,Adamstown Station,Train,Entry,1500
2020-08,Adamstown Station,Train,Exit,1350
2020-09,Adamstown Station,Train,Entry,1640
2020-09,Adamstown Station,Train,Exit,1490
2020-10,Adamstown Station,Train,Entry,1680
2020-10,Adamstown Station,Train,Exit,1490
2020-11,Adamstown Station,Train,Entry,1770
2020-11,Adamstown Station,Train,Exit,1710
2020-12,Adamstown Station,Train,Entry,1690
2020-12,Adamstown Station,Train,Exit,1570
2021-01,Adamstown Station,Train,Entry,1420
2021-01,Adamstown Station,Train,Exit,1300
2021-02,Adamstown Station,Train,Entry,1840
2021-02,Adamstown Station,Train,Exit,1760
2021-03,Adamstown Station,Train,Entry,1770
2021-03,Adamstown Station,Train,Exit,1540
2021-04,Adamstown Station,Train,Entry,2120
2021-04,Adamstown Station,Train,Exit,1890
2021-05,Adamstown Station,Train,Entry,2200
2021-05,Adamstown Station,Train,Exit,1950
2021-06,Adamstown Station,Train,Entry,1720
2021-06,Adamstown Station,Train,Exit,1680
2021-07,Adamstown Station,Train,Entry,1020
2021-07,Adamstown Station,Train,Exit,950
2021-08,Adamstown Station,Train,Entry,470
2021-08,Adamstown Station,Train,Exit,480
2021-09,Adamstown Station,Train,Entry,370
2021-09,Adamstown Station,Train,Exit,390
2021-10,Adamstown Station,Train,Entry,630
2021-10,Adamstown Station,Train,Exit,630
2021-11,Adamstown Station,Train,Entry,1400
2021-11,Adamstown Station,Train,Exit,1350
2021-12,Adamstown Station,Train,Entry,1290
2021-12,Adamstown Station,Train,Exit,1270
2022-01,Adamstown Station,Train,Entry,1100
2022-01,Adamstown Station,Train,Exit,1050
2022-02,Adamstown Station,Train,Entry,1240
2022-02,Adamstown Station,Train,Exit,1080
2022-03,Adamstown Station,Train,Entry,1410
2022-03,Adamstown Station,Train,Exit,1260
2022-04,Adamstown Station,Train,Entry,1760
2022-04,Adamstown Station,Train,Exit,1690
2022-05,Adamstown Station,Train,Entry,1870
2022-05,Adamstown Station,Train,Exit,1750
2022-06,Adamstown Station,Train,Entry,1710
2022-06,Adamstown Station,Train,Exit,1590
2022-07,Adamstown Station,Train,Entry,1430
2022-07,Adamstown Station,Train,Exit,1400
2022-08,Adamstown Station,Train,Entry,1830
2022-08,Adamstown Station,Train,Exit,1660
2022-09,Adamstown Station,Train,Entry,1640
2022-09,Adamstown Station,Train,Exit,1660
2022-10,Adamstown Station,Train,Entry,1910
2022-10,Adamstown Station,Train,Exit,1840
2022-11,Adamstown Station,Train,Entry,1860
2022-11,Adamstown Station,Train,Exit,1730
2022-12,Adamstown Station,Train,Entry,2130
2022-12,Adamstown Station,Train,Exit,2020
2023-01,Adamstown Station,Train,Entry,2120
2023-01,Adamstown Station,Train,Exit,2010
2023-02,Adamstown Station,Train,Entry,2360
2023-02,Adamstown Station,Train,Exit,2270
2023-03,Adamstown Station,Train,Entry,2570
2023-03,Adamstown Station,Train,Exit,2390
2023-04,Adamstown Station,Train,Entry,2390
2023-04,Adamstown Station,Train,Exit,2210
2023-05,Adamstown Station,Train,Entry,2440
2023-05,Adamstown Station,Train,Exit,2340
2023-06,Adamstown Station,Train,Entry,2290
2023-06,Adamstown Station,Train,Exit,2220
2023-07,Adamstown Station,Train,Entry,2450
2023-07,Adamstown Station,Train,Exit,2320
2023-08,Adamstown Station,Train,Entry,2530
2023-08,Adamstown Station,Train,Exit,2410
2023-09,Adamstown Station,Train,Entry,2550
2023-09,Adamstown Station,Train,Exit,2490
2023-10,Adamstown Station,Train,Entry,2570
2023-10,Adamstown Station,Train,Exit,2360
2023-11,Adamstown Station,Train,Entry,2820
2023-11,Adamstown Station,Train,Exit,2710
2023-12,Adamstown Station,Train,Entry,2440
2023-12,Adamstown Station,Train,Exit,2070
2024-01,Adamstown Station,Train,Entry,2390
2024-01,Adamstown Station,Train,Exit,2240
2024-02,Adamstown Station,Train,Entry,2240
2024-02,Adamstown Station,Train,Exit,2090
2024-03,Adamstown Station,Train,Entry,2460
2024-03,Adamstown Station,Train,Exit,2420
2024-04,Adamstown Station,Train,Entry,2490
2024-04,Adamstown Station,Train,Exit,2340
2024-05,Adamstown Station,Train,Entry,2480
2024-05,Adamstown Station,Train,Exit,2240
2024-06,Adamstown Station,Train,Entry,2180
2024-06,Adamstown Station,Train,Exit,2100
2016-07,Albion Park Station,Train,Entry,5050
2016-07,Albion Park Station,Train,Exit,4210
2016-08,Albion Park Station,Train,Entry,6720
2016-08,Albion Park Station,Train,Exit,5730
2016-09,Albion Park Station,Train,Entry,6420
2016-09,Albion Park Station,Train,Exit,5490
2016-10,Albion Park Station,Train,Entry,6160
2016-10,Albion Park Station,Train,Exit,5400
2016-11,Albion Park Station,Train,Entry,6370
2016-11,Albion Park Station,Train,Exit,5580
2016-12,Albion Park Station,Train,Entry,5500
2016-12,Albion Park Station,Train,Exit,4670
2017-01,Albion Park Station,Train,Entry,5500
2017-01,Albion Park Station,Train,Exit,4790
2017-02,Albion Park Station,Train,Entry,6060
2017-02,Albion Park Station,Train,Exit,5200
2017-03,Albion Park Station,Train,Entry,7620
2017-03,Albion Park Station,Train,Exit,6390
2017-04,Albion Park Station,Train,Entry,6160
2017-04,Albion Park Station,Train,Exit,5310
2017-05,Albion Park Station,Train,Entry,9960
2017-05,Albion Park Station,Train,Exit,9110
2017-06,Albion Park Station,Train,Entry,6390
2017-06,Albion Park Station,Train,Exit,5500
2017-07,Albion Park Station,Train,Entry,6230
2017-07,Albion Park Station,Train,Exit,5270
2017-08,Albion Park Station,Train,Entry,7130
2017-08,Albion Park Station,Train,Exit,6130
2017-09,Albion Park Station,Train,Entry,6700
2017-09,Albion Park Station,Train,Exit,5660
2017-10,Albion Park Station,Train,Entry,7010
2017-10,Albion Park Station,Train,Exit,5980
2017-11,Albion Park Station,Train,Entry,6850
2017-11,Albion Park Station,Train,Exit,5760
2017-12,Albion Park Station,Train,Entry,6070
2017-12,Albion Park Station,Train,Exit,5050
2018-01,Albion Park Station,Train,Entry,5870
2018-01,Albion Park Station,Train,Exit,5140
2018-02,Albion Park Station,Train,Entry,6640
2018-02,Albion Park Station,Train,Exit,5600
2018-03,Albion Park Station,Train,Entry,7850
2018-03,Albion Park Station,Train,Exit,6780
2018-04,Albion Park Station,Train,Entry,7370
2018-04,Albion Park Station,Train,Exit,6480
2018-05,Albion Park Station,Train,Entry,10700
2018-05,Albion Park Station,Train,Exit,9590
2018-06,Albion Park Station,Train,Entry,6660
2018-06,Albion Park Station,Train,Exit,5640
2018-07,Albion Park Station,Train,Entry,6360
2018-07,Albion Park Station,Train,Exit,5580
2018-08,Albion Park Station,Train,Entry,7230
2018-08,Albion Park Station,Train,Exit,6170
2018-09,Albion Park Station,Train,Entry,6920
2018-09,Albion Park Station,Train,Exit,6040
2018-10,Albion Park Station,Train,Entry,7460
2018-10,Albion Park Station,Train,Exit,6300
2018-11,Albion Park Station,Train,Entry,7770
2018-11,Albion Park Station,Train,Exit,6820
2018-12,Albion Park Station,Train,Entry,5980
2018-12,Albion Park Station,Train,Exit,5000
2019-01,Albion Park Station,Train,Entry,6540
2019-01,Albion Park Station,Train,Exit,5810
2019-02,Albion Park Station,Train,Entry,6810
2019-02,Albion Park Station,Train,Exit,5900
2019-03,Albion Park Station,Train,Entry,7460
2019-03,Albion Park Station,Train,Exit,6500
2019-04,Albion Park Station,Train,Entry,7470
2019-04,Albion Park Station,Train,Exit,6510
2019-05,Albion Park Station,Train,Entry,10080
2019-05,Albion Park Station,Train,Exit,8820
2019-06,Albion Park Station,Train,Entry,7110
2019-06,Albion Park Station,Train,Exit,6200
2019-07,Albion Park Station,Train,Entry,7420
2019-07,Albion Park Station,Train,Exit,6490
2019-08,Albion Park Station,Train,Entry,7830
2019-08,Albion Park Station,Train,Exit,6840
2019-09,Albion Park Station,Train,Entry,6950
2019-09,Albion Park Station,Train,Exit,6160
2019-10,Albion Park Station,Train,Entry,7730
2019-10,Albion Park Station,Train,Exit,6680
2019-11,Albion Park Station,Train,Entry,7590
2019-11,Albion Park Station,Train,Exit,6660
2019-12,Albion Park Station,Train,Entry,6230
2019-12,Albion Park Station,Train,Exit,5500
2020-01,Albion Park Station,Train,Entry,6930
2020-01,Albion Park Station,Train,Exit,6050
2020-02,Albion Park Station,Train,Entry,6310
2020-02,Albion Park Station,Train,Exit,5360
